draft_pick,value_jj,jj_v1
1,3000,1
2,2600,0.8666666666666667
3,2200,0.7333333333333333
4,1800,0.6
5,1700,0.5666666666666667
6,1600,0.5333333333333333
7,1500,0.5
8,1400,0.4666666666666667
9,1350,0.45
10,1300,0.43333333333333335
11,1250,0.4166666666666667
12,1200,0.4
13,1150,0.38333333333333336
14,1100,0.36666666666666664
15,1050,0.35
16,1000,0.3333333333333333
17,950,0.31666666666666665
18,900,0.3
19,875,0.2916666666666667
20,850,0.2833333333333333
21,800,0.26666666666666666
22,780,0.26
23,760,0.25333333333333335
24,740,0.24666666666666667
25,720,0.24
26,700,0.23333333333333334
27,680,0.22666666666666666
28,660,0.22
29,640,0.21333333333333335
30,620,0.20666666666666667
31,600,0.2
32,590,0.19666666666666666
33,580,0.19333333333333333
34,560,0.18666666666666668
35,550,0.18333333333333332
36,540,0.18
37,530,0.17666666666666667
38,520,0.17333333333333334
39,510,0.17
40,500,0.16666666666666666
41,490,0.16333333333333333
42,480,0.16
43,470,0.15666666666666668
44,460,0.15333333333333332
45,450,0.15
46,440,0.14666666666666667
47,430,0.14333333333333334
48,420,0.14
49,410,0.13666666666666666
50,400,0.13333333333333333
51,390,0.13
52,380,0.12666666666666668
53,370,0.12333333333333334
54,360,0.12
55,350,0.11666666666666667
56,340,0.11333333333333333
57,330,0.11
58,320,0.10666666666666667
59,310,0.10333333333333333
60,300,0.1
61,292,0.09733333333333333
62,284,0.09466666666666666
63,276,0.092
64,270,0.09
65,265,0.08833333333333333
66,260,0.08666666666666667
67,255,0.085
68,250,0.08333333333333333
69,245,0.08166666666666667
70,240,0.08
71,235,0.07833333333333334
72,230,0.07666666666666666
73,225,0.075
74,220,0.07333333333333333
75,215,0.07166666666666667
76,210,0.07
77,205,0.06833333333333333
78,200,0.06666666666666667
79,195,0.065
80,190,0.06333333333333334
81,185,0.06166666666666667
82,180,0.06
83,175,0.058333333333333334
84,170,0.056666666666666664
85,165,0.055
86,160,0.05333333333333334
87,155,0.051666666666666666
88,150,0.05
89,145,0.04833333333333333
90,140,0.04666666666666667
91,136,0.04533333333333334
92,132,0.044
93,128,0.042666666666666665
94,124,0.04133333333333333
95,120,0.04
96,116,0.03866666666666667
97,112,0.037333333333333336
98,108,0.036
99,104,0.034666666666666665
100,100,0.03333333333333333
101,96,0.032
102,92,0.030666666666666665
103,88,0.029333333333333333
104,86,0.028666666666666667
105,84,0.028
106,82,0.027333333333333334
107,80,0.02666666666666667
108,78,0.026
109,76,0.025333333333333333
110,74,0.024666666666666667
111,72,0.024
112,70,0.023333333333333334
113,68,0.02266666666666667
114,66,0.022
115,64,0.021333333333333333
116,62,0.020666666666666667
117,60,0.02
118,58,0.019333333333333334
119,56,0.018666666666666668
120,54,0.018
121,52,0.017333333333333333
122,50,0.016666666666666666
123,49,0.01633333333333333
124,48,0.016
125,47,0.015666666666666666
126,46,0.015333333333333332
127,45,0.015
128,44,0.014666666666666666
129,43,0.014333333333333333
130,42,0.014
131,41,0.013666666666666667
132,40,0.013333333333333334
133,39.5,0.013166666666666667
134,39,0.013
135,38.5,0.012833333333333334
136,38,0.012666666666666666
137,37.5,0.0125
138,37,0.012333333333333333
139,36.5,0.012166666666666666
140,36,0.012
141,35.5,0.011833333333333333
142,35,0.011666666666666667
143,34.5,0.0115
144,34,0.011333333333333334
145,33.5,0.011166666666666667
146,33,0.011
147,32.6,0.010866666666666667
148,32.3,0.010766666666666666
149,31.8,0.0106
150,31.4,0.010466666666666666
151,31,0.010333333333333333
152,30.6,0.0102
153,30.2,0.010066666666666666
154,29.8,0.009933333333333334
155,29.4,0.0098
156,29,0.009666666666666667
157,28.6,0.009533333333333335
158,28.2,0.0094
159,27.8,0.009266666666666666
160,27.4,0.009133333333333334
161,27,0.009
162,26.6,0.008866666666666667
163,26.2,0.008733333333333333
164,25.8,0.0086
165,25.4,0.008466666666666666
166,25,0.008333333333333333
167,24.6,0.0082
168,24.2,0.008066666666666666
169,23.8,0.007933333333333334
170,23.4,0.0078
171,23,0.007666666666666666
172,22.6,0.007533333333333334
173,22.2,0.0073999999999999995
174,21.8,0.007266666666666667
175,21.4,0.007133333333333333
176,21,0.007
177,20.6,0.006866666666666667
178,20.2,0.006733333333333333
179,19.8,0.0066
180,19.4,0.006466666666666667
181,19,0.006333333333333333
182,18.6,0.006200000000000001
183,18.2,0.006066666666666666
184,17.8,0.005933333333333334
185,17.4,0.0058
186,17,0.005666666666666667
187,16.6,0.005533333333333334
188,16.2,0.005399999999999999
189,15.8,0.005266666666666667
190,15.4,0.0051333333333333335
191,15,0.005
192,14.6,0.004866666666666667
193,14.2,0.004733333333333333
194,13.8,0.0046
195,13.4,0.0044666666666666665
196,13,0.004333333333333333
197,12.6,0.0042
198,12.2,0.004066666666666666
199,11.8,0.003933333333333334
200,11.4,0.0038
201,11,0.0036666666666666666
202,10.6,0.003533333333333333
203,10.2,0.0034
204,9.8,0.003266666666666667
205,9.4,0.0031333333333333335
206,9,0.003
207,8.6,0.0028666666666666667
208,8.2,0.0027333333333333333
209,7.8,0.0026
210,7.4,0.002466666666666667
211,7,0.0023333333333333335
212,6.6,0.0021999999999999997
213,6.2,0.0020666666666666667
214,5.8,0.0019333333333333333
215,5.4,0.0018000000000000002
216,5,0.0016666666666666668
217,4.6,0.0015333333333333332
218,4.2,0.0014
219,3.8,0.0012666666666666666
220,3.4,0.0011333333333333332
221,3,0.001
222,2.6,8.666666666666667e-4
223,2.3,7.666666666666666e-4
224,2,6.666666666666666e-4
