b,m,lambda,beta,rho
0,1,0.090810427377139,0.9752792185420724,0
1,1,0.08361721989507909,1.0228877598841453,0
2,1,0.11959060294056413,0.9098413075871801,0
3,1,0.07308751011518407,0.9928754908738202,0
4,1,0.0972669515102982,0.9745981038633791,0
5,1,0.040408862630457495,1.09660676645813,0
6,1,0.008891125461028214,1.5026334087023694,0
7,1,0.05504083461520482,1.1039962120338247,0
8,1,0.09161124704202149,0.9949085623494002,0
9,1,0.043889570209004636,1.177090259237526,0
10,1,0.004235566375729815,1.7531853953303573,0
11,1,0.14564227823422343,0.8998288247497266,0
12,1,0.10222925116942255,0.9004597582701847,0
13,1,0.020233088756043214,1.3070726991232051,0
14,1,0.02758899855727105,1.2490526723756714,0
15,1,0.09340032083655495,0.9907234417264448,0
16,1,0.0621673273343909,1.0471884108670118,0
17,1,0.12884760083393848,0.9177123723355721,0
18,1,0.08547701382430929,1.0050341855606502,0
19,1,0.16547485978583124,0.8206288456979862,0
20,1,0.08785649733315327,0.9679937660353954,0
21,1,0.1807622778668889,0.8149293108618844,0
22,1,0.0057472301812534,1.4505715938816321,0
23,1,0.2768226025044879,0.7648137063787418,0
24,1,0.060535376214262845,1.0533311478330578,0
25,1,0.03735848562874514,1.2825396033834713,0
26,1,0.06842372003665119,1.0601995473927328,0
27,1,0.04142321082969597,1.1362679782409317,0
28,1,0.042767140052069524,1.1392909618110443,0
29,1,0.18783549504760322,0.8085514568676055,0
30,1,0.0906066951649022,0.9585385644580267,0
31,1,0.11912335254646399,0.8862954263233261,0
32,1,0.12847959701482306,0.9482098902979073,0
33,1,0.06578232830647106,1.0852948942188105,0
34,1,0.01903958980217768,1.366261244549338,0
35,1,0.12582137446019864,0.9317210115683553,0
36,1,0.05766122494305424,1.202816908680846,0
37,1,0.0864781366399028,0.9659071319715343,0
38,1,0.11277564099880817,0.9077682975014637,0
39,1,0.0508984520593279,1.086990889366768,0
40,1,0.11813159159676101,0.9354480991545394,0
41,1,0.024451901238882367,1.2104849793021821,0
42,1,0.00531993192215399,1.5950343478747206,0
43,1,0.11317082976577582,0.9098961647255612,0
44,1,0.11685667856377045,0.9247074305034656,0
45,1,0.058125627525934316,0.9985972991674708,0
46,1,0.06384098971392564,1.004841853348135,0
47,1,0.0035952471823011865,1.7224461065592302,0
48,1,0.12796486432439388,0.851253094911414,0
49,1,0.09128891108357896,0.943060309725558,0
50,1,0.0929795564256138,0.9138611495989322,0
51,1,0.10905765619307294,0.9484219275048538,0
52,1,0.03857309353911962,1.1887116538737668,0
53,1,0.14196469606325823,0.8103239015632769,0
54,1,0.13615365059246987,0.8502783401746623,0
55,1,0.053612042105238907,1.0874632844435121,0
56,1,0.06650654404428756,1.0704947045782365,0
57,1,0.12032377864739774,0.9461379294860642,0
58,1,0.15781501672541665,0.8243688609236076,0
59,1,0.12081048211816005,0.8629596678197413,0
